Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Czechia,CZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.015
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.2292682926829
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,345401473012.615
Denmark,DNK,GNI (current US$),NY.GNP.MKTP.CD,355443582780.668
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.25505018234253
Denmark,DNK,Gini index,SI.POV.GINI,27.7
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.018
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4512195121951
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3088853638.56832
Djibouti,DJI,GNI (current US$),NY.GNP.MKTP.CD,2994853638.56832
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Djibouti,DJI,Gini index,SI.POV.GINI,..
Djibouti,DJI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.381
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,611537037.037037
Dominica,DMA,GNI (current US$),NY.GNP.MKTP.CD,602040740.740741
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.53449010848999
Dominica,DMA,Gini index,SI.POV.GINI,..
Dominica,DMA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.305
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,88941372558.2397
Dominican Republic,DOM,GNI (current US$),NY.GNP.MKTP.CD,84872472558.5555
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.04276895523071
Dominican Republic,DOM,Gini index,SI.POV.GINI,41.9
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.356
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.112
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,107595829000
Ecuador,ECU,GNI (current US$),NY.GNP.MKTP.CD,104536017000
Ecuador,ECU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.2457799911499
Ecuador,ECU,Gini index,SI.POV.GINI,45.7
Ecuador,ECU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.812
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.286
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,318678815489.749
"Egypt, Arab Rep.",EGY,GNI (current US$),NY.GNP.MKTP.CD,307669215489.749
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,31.9
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.851
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.213
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,26881140000
El Salvador,SLV,GNI (current US$),NY.GNP.MKTP.CD,25540040000
El Salvador,SLV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.38710999488831
El Salvador,SLV,Gini index,SI.POV.GINI,38.8
El Salvador,SLV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.17
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.725
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11364133549.7478
Equatorial Guinea,GNQ,GNI (current US$),NY.GNP.MKTP.CD,8329916826.1239
Equatorial Guinea,GNQ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Equatorial Guinea,GNQ,Gini index,SI.POV.GINI,..
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.297
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..
Eritrea,ERI,GNI (current US$),NY.GNP.MKTP.CD,..
Eritrea,ERI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Eritrea,ERI,Gini index,SI.POV.GINI,..
Eritrea,ERI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.306
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31873748770.0313
Estonia,EST,GNI (current US$),NY.GNP.MKTP.CD,30681549837.647
Estonia,EST,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.26041984558105
Estonia,EST,Gini index,SI.POV.GINI,30.8
Estonia,EST,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.514
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.6463414634147
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4594818143.27624
Eswatini,SWZ,GNI (current US$),NY.GNP.MKTP.CD,4112925340.93876
Eswatini,SWZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.69914817810059
Eswatini,SWZ,Gini index,SI.POV.GINI,..
Eswatini,SWZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Eswatini,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.85
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,95912607722.3032
Ethiopia,ETH,GNI (current US$),NY.GNP.MKTP.CD,95323016753.8224
Ethiopia,ETH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.48086929321289
Ethiopia,ETH,Gini index,SI.POV.GINI,..
Ethiopia,ETH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.741
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,3266432734.22819
Faroe Islands,FRO,GNI (current US$),NY.GNP.MKTP.CD,3360023702.11503
Faroe Islands,FRO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Faroe Islands,FRO,Gini index,SI.POV.GINI,..
Faroe Islands,FRO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4439024390244
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,5444407214.31758
Fiji,FJI,GNI (current US$),NY.GNP.MKTP.CD,4993717624.5248
Fiji,FJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.15273189544678
Fiji,FJI,Gini index,SI.POV.GINI,30.7
Fiji,FJI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.009
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,267014821129.411
Finland,FIN,GNI (current US$),NY.GNP.MKTP.CD,269899706941.176
Finland,FIN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.41695022583008
Finland,FIN,Gini index,SI.POV.GINI,27.7
Finland,FIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.695
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.9829268292683
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2722793515171.76
France,FRA,GNI (current US$),NY.GNP.MKTP.CD,2787416524619.6
France,FRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.35443019866943
France,FRA,Gini index,SI.POV.GINI,31.2
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.415
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.8268292682927
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,6022276196.13871
French Polynesia,PYF,GNI (current US$),NY.GNP.MKTP.CD,..
French Polynesia,PYF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
French Polynesia,PYF,Gini index,SI.POV.GINI,..
French Polynesia,PYF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.195
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,16874405465.391
Gabon,GAB,GNI (current US$),NY.GNP.MKTP.CD,15511133840.5581
Gabon,GAB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.8743097782135
Gabon,GAB,Gini index,SI.POV.GINI,..
Gabon,GAB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.337
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1813609692.49994
"Gambia, The",GMB,GNI (current US$),NY.GNP.MKTP.CD,1783609669.12913
"Gambia, The",GMB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.80809712409973
"Gambia, The",GMB,Gini index,SI.POV.GINI,..
"Gambia, The",GMB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.427
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,17638337116.9126
Georgia,GEO,GNI (current US$),NY.GNP.MKTP.CD,16841958711.6913
Georgia,GEO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.82985997200012
Georgia,GEO,Gini index,SI.POV.GINI,35.9
Georgia,GEO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.565
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.165
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3957208055215.68
Germany,DEU,GNI (current US$),NY.GNP.MKTP.CD,4034728306596.07
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.11552000045776
Germany,DEU,Gini index,SI.POV.GINI,31.8
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.163
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2926829268293
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,68337969247.7067
Ghana,GHA,GNI (current US$),NY.GNP.MKTP.CD,65527721243.3015
Ghana,GHA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.15307116508484
Ghana,GHA,Gini index,SI.POV.GINI,..
Ghana,GHA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.455
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..
Gibraltar,GIB,GNI (current US$),NY.GNP.MKTP.CD,..
Gibraltar,GIB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Gibraltar,GIB,Gini index,SI.POV.GINI,..
Gibraltar,GIB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.183
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,207305649887.019
Greece,GRC,GNI (current US$),NY.GNP.MKTP.CD,203407936304.627
Greece,GRC,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.58612990379333
Greece,GRC,Gini index,SI.POV.GINI,33.1
Greece,GRC,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,17.045
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6390243902439
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2997309971.87623
Greenland,GRL,GNI (current US$),NY.GNP.MKTP.CD,..
Greenland,GRL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Greenland,GRL,Gini index,SI.POV.GINI,..
Greenland,GRL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.9443902439024
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1213485185.18519
Grenada,GRD,GNI (current US$),NY.GNP.MKTP.CD,1092085185.18519
Grenada,GRD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Grenada,GRD,Gini index,SI.POV.GINI,..
Grenada,GRD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.788
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.971
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,6355000000
Guam,GUM,GNI (current US$),NY.GNP.MKTP.CD,..
Guam,GUM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Guam,GUM,Gini index,SI.POV.GINI,..
Guam,GUM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.645
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,77172317258.6478
Guatemala,GTM,GNI (current US$),NY.GNP.MKTP.CD,75768261350.5168
Guatemala,GTM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.19297003746033
Guatemala,GTM,Gini index,SI.POV.GINI,..
Guatemala,GTM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.193
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.639
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,13442861496.4454
Guinea,GIN,GNI (current US$),NY.GNP.MKTP.CD,13328776519.4144
Guinea,GIN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.85812997817993
Guinea,GIN,Gini index,SI.POV.GINI,..
Guinea,GIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.018
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.379
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1588638853.59328
Guinea-Bissau,GNB,GNI (current US$),NY.GNP.MKTP.CD,1615032331.88075
Guinea-Bissau,GNB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Guinea-Bissau,GNB,Gini index,SI.POV.GINI,..
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.799
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.161
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,5173760191.84652
Guyana,GUY,GNI (current US$),NY.GNP.MKTP.CD,5090626464.04643
Guyana,GUY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Guyana,GUY,Gini index,SI.POV.GINI,..
Guyana,GUY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.172
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.067
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,15016090929.5125
Haiti,HTI,GNI (current US$),NY.GNP.MKTP.CD,15065747025.9284
Haiti,HTI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.75941300392151
Haiti,HTI,Gini index,SI.POV.GINI,..
Haiti,HTI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.328
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,24882225741.8119
Honduras,HND,GNI (current US$),NY.GNP.MKTP.CD,22895236635.6885
Honduras,HND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.93245983123779
Honduras,HND,Gini index,SI.POV.GINI,48.2
Honduras,HND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.698
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.124
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,363074545072.389
"Hong Kong SAR, China",HKG,GNI (current US$),NY.GNP.MKTP.CD,381415346793.49
"Hong Kong SAR, China",HKG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.81017994880676
"Hong Kong SAR, China",HKG,Gini index,SI.POV.GINI,..
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.917
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,85.1558536585366
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,164020460331.659
Hungary,HUN,GNI (current US$),NY.GNP.MKTP.CD,159691089245.166
Hungary,HUN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.22488021850586
Hungary,HUN,Gini index,SI.POV.GINI,30
Hungary,HUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.419
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.3195121951219
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,24681343649.2952
Iceland,ISL,GNI (current US$),NY.GNP.MKTP.CD,25374511608.1548
Iceland,ISL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.60129976272583
Iceland,ISL,Gini index,SI.POV.GINI,..
Iceland,ISL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.507
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.1634146341463
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2835606256558.19
India,IND,GNI (current US$),NY.GNP.MKTP.CD,2808367623254.15
India,IND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.89732360839844
India,IND,Gini index,SI.POV.GINI,..
India,IND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.51
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.746
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1119099871385.79
Indonesia,IDN,GNI (current US$),NY.GNP.MKTP.CD,1085078650200.79
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0.964399099349976
Indonesia,IDN,Gini index,SI.POV.GINI,35.4
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.59
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.349
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,333519146339.191
"Iran, Islamic Rep.",IRN,GNI (current US$),NY.GNP.MKTP.CD,333580960831.753
"Iran, Islamic Rep.",IRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.24005007743835
"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,36.5
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.74
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.855
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,233636097800.338
Iraq,IRQ,GNI (current US$),NY.GNP.MKTP.CD,232469897800.338
Iraq,IRQ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Iraq,IRQ,Gini index,SI.POV.GINI,..
Iraq,IRQ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.245
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,407124824064.995
Ireland,IRL,GNI (current US$),NY.GNP.MKTP.CD,309776780487.207
Ireland,IRL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.2961699962616
Ireland,IRL,Gini index,SI.POV.GINI,30.3
Ireland,IRL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.95
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.7024390243903
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,7314967866.28289
Isle of Man,IMN,GNI (current US$),NY.GNP.MKTP.CD,6961139582.22977
Isle of Man,IMN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Isle of Man,IMN,Gini index,SI.POV.GINI,..
Isle of Man,IMN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.74
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,399651065197.871
Israel,ISR,GNI (current US$),NY.GNP.MKTP.CD,397736725276.623
Israel,ISR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.04147005081177
Israel,ISR,Gini index,SI.POV.GINI,38.3
Israel,ISR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.731
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.8048780487805
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2019606796583.53
Italy,ITA,GNI (current US$),NY.GNP.MKTP.CD,2027301728521.57
Italy,ITA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.09527015686035
Italy,ITA,Gini index,SI.POV.GINI,34.6
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.952
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.4975609756098
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,15830766570.7266
Jamaica,JAM,GNI (current US$),NY.GNP.MKTP.CD,15389266570.7267
Jamaica,JAM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.16364002227783
Jamaica,JAM,Gini index,SI.POV.GINI,..
Jamaica,JAM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.987
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.532
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5117993853016.51
Japan,JPN,GNI (current US$),NY.GNP.MKTP.CD,5318494421653.03
Japan,JPN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.15533995628357
Japan,JPN,Gini index,SI.POV.GINI,33
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.351
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.3563414634146
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,44503006338.0282
Jordan,JOR,GNI (current US$),NY.GNP.MKTP.CD,44510471126.7606
Jordan,JOR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.98847007751465
Jordan,JOR,Gini index,SI.POV.GINI,..
Jordan,JOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.801
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.865
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,181667184854.501
Kazakhstan,KAZ,GNI (current US$),NY.GNP.MKTP.CD,158974562541.081
Kazakhstan,KAZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.35382127761841
Kazakhstan,KAZ,Gini index,SI.POV.GINI,28
Kazakhstan,KAZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.8
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.658
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,100378436207.371
Kenya,KEN,GNI (current US$),NY.GNP.MKTP.CD,98773632628.9327
Kenya,KEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.37359189987183
Kenya,KEN,Gini index,SI.POV.GINI,..
Kenya,KEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.014
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.939
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,216985362.338171
Kiribati,KIR,GNI (current US$),NY.GNP.MKTP.CD,411922551.894316
Kiribati,KIR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,13.7686548233032
Kiribati,KIR,Gini index,SI.POV.GINI,27.8
Kiribati,KIR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.557
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.866
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,..
"Korea, Dem. People's Rep.",PRK,GNI (current US$),NY.GNP.MKTP.CD,..
"Korea, Dem. People's Rep.",PRK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Korea, Dem. People's Rep.",PRK,Gini index,SI.POV.GINI,..
"Korea, Dem. People's Rep.",PRK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.928
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1651422932447.77
"Korea, Rep.",KOR,GNI (current US$),NY.GNP.MKTP.CD,1665675897739.53
"Korea, Rep.",KOR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.68465995788574
"Korea, Rep.",KOR,Gini index,SI.POV.GINI,33.2
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.746
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2268292682927
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,7899737577.47286
Kosovo,XKX,GNI (current US$),NY.GNP.MKTP.CD,8079554105.61387
